length,common_edges,common_nodes,common_edges_mean,common_nodes_mean
40944.93087338495,0.22,0.55,0.231035,0.54046
37257.181627539976,0.385,0.6,0.25272500000000003,0.54576
41155.982459287174,0.275,0.51,0.231515,0.53886
38052.54701447637,0.28,0.54,0.24574000000000001,0.54364
40752.98508033037,0.225,0.62,0.22825,0.5430300000000001
39950.40380157296,0.305,0.56,0.236155,0.54256
38461.62996181728,0.24,0.53,0.234535,0.5404800000000001
37678.07291467685,0.335,0.64,0.251625,0.5465399999999999
39556.269581902554,0.235,0.5,0.22706,0.5432100000000001
38397.701684130705,0.31,0.51,0.24367000000000003,0.54514
38923.48016586108,0.275,0.52,0.24489499999999997,0.54098
37412.294684699824,0.28,0.51,0.246865,0.54377
37399.603322167786,0.255,0.52,0.24966,0.54338
39678.20207802666,0.21,0.51,0.23148000000000002,0.54024
37794.29441315652,0.26,0.53,0.24781,0.53841
39961.45746359234,0.22,0.53,0.24342000000000003,0.5419
38531.578034350976,0.26,0.57,0.24203,0.5429700000000001
38652.51346021313,0.32,0.54,0.22458499999999998,0.54061
38488.7364744635,0.265,0.57,0.24012,0.5395599999999999
39442.07256849506,0.255,0.57,0.234505,0.5418399999999999
39097.60134673685,0.265,0.53,0.23568500000000003,0.54176
36690.80455219053,0.14,0.66,0.25139500000000004,0.5469400000000001
38547.317694647994,0.275,0.68,0.24449500000000002,0.54301
40900.547665298225,0.3,0.58,0.22492,0.53975
39291.68206233085,0.235,0.54,0.227935,0.53661
39848.90620227363,0.25,0.55,0.23974,0.5405800000000001
37753.60864054697,0.355,0.55,0.24979500000000002,0.54863
38063.796970631156,0.3,0.52,0.25834500000000005,0.5429400000000001
38549.641542861915,0.34,0.57,0.24958000000000002,0.5430499999999999
38065.7632541715,0.215,0.62,0.24567,0.5416500000000001
38906.118702028645,0.27,0.57,0.23895499999999997,0.54422
41058.45682819646,0.24,0.54,0.22979500000000003,0.53973
38430.97695480298,0.225,0.54,0.24586000000000002,0.54481
37662.138428294886,0.345,0.56,0.24201499999999998,0.5431400000000001
37794.43205491342,0.255,0.51,0.24516,0.54299
38933.253667565754,0.195,0.52,0.24047,0.5406400000000001
38621.12858778334,0.21,0.51,0.244955,0.5424800000000001
39798.716385400825,0.295,0.5,0.23579999999999998,0.54249
40102.79177986452,0.255,0.56,0.23294499999999999,0.5399
38911.78691308692,0.27,0.55,0.224685,0.54596
40152.189156668464,0.29,0.51,0.236745,0.53826
39495.59039159144,0.355,0.51,0.23616000000000004,0.54069
38725.46226957723,0.295,0.51,0.24641499999999997,0.54102
38389.43392047048,0.235,0.62,0.24699000000000002,0.54279
38694.798046805256,0.26,0.51,0.23915,0.5403499999999999
38931.74700165648,0.255,0.58,0.245255,0.53976
36931.29813383201,0.25,0.59,0.25160499999999997,0.54709
39854.37870696368,0.285,0.61,0.22175999999999998,0.5431699999999999
36962.46935583838,0.28,0.53,0.24958,0.54611
37728.8470980423,0.3,0.55,0.250715,0.5455099999999999
39071.11016708502,0.235,0.58,0.244755,0.54139
38646.83902826952,0.35,0.5,0.24485500000000002,0.5455999999999999
38401.48700947382,0.285,0.56,0.23635499999999998,0.53818
39102.7749536255,0.305,0.6,0.24016500000000002,0.54264
36197.04785052009,0.345,0.51,0.25366000000000005,0.54725
38087.64436535172,0.26,0.51,0.235455,0.5428299999999999
39881.87498444184,0.225,0.51,0.22409500000000002,0.53896
39451.79119881366,0.345,0.58,0.24562,0.54295
37008.35226949746,0.27,0.52,0.25164000000000003,0.54459
40983.52878137709,0.24,0.51,0.240405,0.54377
38440.57994548096,0.31,0.5,0.24588,0.5404200000000001
36626.28327503282,0.335,0.54,0.249535,0.54435
40417.31455721457,0.26,0.58,0.232695,0.5371
38537.69583291376,0.28,0.55,0.237795,0.5404
40874.0217960078,0.235,0.54,0.23142000000000001,0.5387799999999999
36795.10379570139,0.21,0.5,0.25253,0.5433199999999999
36635.261837674705,0.37,0.52,0.25851999999999997,0.54347
37845.05656533668,0.155,0.6,0.23889500000000002,0.5409700000000001
37854.51650123975,0.3,0.55,0.259085,0.54374
37407.08442589344,0.285,0.53,0.236345,0.54404
38699.33986689635,0.295,0.51,0.243365,0.54566
38730.97641793956,0.23,0.51,0.23285499999999998,0.5410499999999999
38202.38985369741,0.285,0.51,0.237595,0.54348
37178.07931680526,0.24,0.59,0.245945,0.54299
37756.6820908871,0.3,0.54,0.247505,0.54601
36868.823455758175,0.24,0.59,0.26096,0.5481
37951.97073305776,0.29,0.53,0.24574,0.5428
38918.71637376255,0.16,0.6,0.24126,0.5426
37227.94697085433,0.37,0.53,0.254535,0.54472
41161.8630162772,0.17,0.61,0.22261,0.5411
39048.60510572119,0.25,0.53,0.22994499999999998,0.54142
39678.50397262534,0.24,0.54,0.215515,0.53838
37759.04522983653,0.28,0.63,0.25083,0.5425399999999999
39164.48013584029,0.34,0.57,0.25076000000000004,0.5433
39630.13717040626,0.275,0.56,0.22686,0.53871
38889.72328464402,0.31,0.59,0.231405,0.54125
39174.0804311119,0.29,0.54,0.23489000000000002,0.543
39239.98349032071,0.25,0.54,0.23571499999999998,0.5448500000000001
39183.28969317299,0.26,0.56,0.243635,0.54346
36973.84181943856,0.345,0.62,0.25716,0.5466099999999999
37737.48558350434,0.34,0.52,0.24507500000000002,0.5460699999999999
39516.51806423154,0.34,0.5,0.24965000000000004,0.5400699999999999
39010.602021524915,0.3,0.51,0.24631999999999998,0.5445599999999999
37621.29364014112,0.26,0.6,0.25449,0.54509
39901.17739705157,0.33,0.51,0.23910000000000003,0.53876
38241.880674711996,0.245,0.53,0.248115,0.54509
39767.12444354106,0.325,0.54,0.247755,0.5448500000000001
37604.4255592978,0.265,0.51,0.25114,0.54338
36063.701538810434,0.29,0.53,0.252155,0.54359
37034.09043497755,0.37,0.54,0.251815,0.5455399999999999
37932.90334551256,0.295,0.53,0.240205,0.54203
39204.43600643841,0.27,0.54,0.22283,0.54259
38774.020044602454,0.205,0.65,0.24066500000000002,0.5407799999999999
37825.65827931766,0.355,0.6,0.24044,0.5399200000000001
37087.19930775171,0.285,0.54,0.24111000000000002,0.5432899999999999
39063.9656555003,0.29,0.61,0.242945,0.5437099999999999
37044.05864511205,0.23,0.51,0.249405,0.5447799999999999
38019.717554873176,0.26,0.53,0.24353500000000003,0.5428499999999999
40280.23779837857,0.25,0.53,0.23291000000000003,0.54253
38190.51419549035,0.225,0.52,0.23871499999999998,0.5436500000000001
37116.566418988485,0.26,0.52,0.255975,0.54402
39033.04226377795,0.295,0.5,0.23951999999999998,0.5436700000000001
38156.713570926004,0.29,0.57,0.24442499999999998,0.5454199999999999
38621.78809297895,0.265,0.53,0.243085,0.54575
38400.677424719746,0.305,0.66,0.24055,0.5431600000000001
38848.26885009596,0.335,0.56,0.23978,0.5423199999999999
40094.25042416615,0.225,0.52,0.236875,0.5388799999999999
40333.197655407916,0.24,0.5,0.234795,0.54042
37447.01468322384,0.38,0.61,0.250355,0.54564
39280.17153766584,0.28,0.52,0.23886500000000002,0.54722
39029.94580179379,0.26,0.54,0.24258,0.5429700000000001
38116.26102906511,0.265,0.55,0.243635,0.53953
38354.994838956685,0.23,0.5,0.23577,0.5436
38512.05423848561,0.36,0.52,0.23702,0.54247
39756.242885044536,0.21,0.61,0.24362999999999999,0.54346
39057.89722746692,0.32,0.55,0.24290000000000003,0.5442899999999999
40933.104996208,0.295,0.58,0.22644,0.5387000000000001
39020.83633100348,0.3,0.57,0.236785,0.54174
37295.60291998732,0.275,0.5,0.248995,0.5414399999999999
39763.34011707023,0.335,0.6,0.23325,0.54238
39859.57177606965,0.29,0.53,0.236925,0.54103
39280.95591104064,0.275,0.52,0.24208,0.54186
40354.180411143716,0.22,0.53,0.22975,0.5395599999999999
41057.63493124684,0.225,0.52,0.230225,0.53689
40359.36002760255,0.2,0.53,0.237315,0.5435699999999999
39346.31700431184,0.19,0.52,0.235045,0.5423199999999999
39677.30574296658,0.21,0.59,0.24509,0.5401800000000001
38689.01198392823,0.265,0.52,0.24068,0.54401
40286.03278790534,0.26,0.53,0.240635,0.5432100000000001
39361.468380054546,0.29,0.54,0.24474500000000002,0.53908
39417.748516280044,0.305,0.54,0.23868500000000004,0.54325
39072.57103223211,0.225,0.54,0.23561500000000002,0.53912
37092.954924216974,0.315,0.54,0.24856999999999999,0.54568
38659.81700278309,0.3,0.51,0.246085,0.54463
37805.99318442849,0.305,0.63,0.23666,0.54558
38447.83491918774,0.315,0.5,0.235035,0.54276
39465.99100247567,0.245,0.54,0.23612,0.5398999999999999
38193.839293185796,0.265,0.51,0.23257,0.54469
37480.1944713336,0.3,0.58,0.25392000000000003,0.5429700000000001
37662.83218672082,0.255,0.53,0.24608,0.5449700000000001
39366.43560500641,0.29,0.52,0.23436,0.5432899999999999
39293.12608528355,0.33,0.53,0.22994499999999998,0.53873
39843.34432324662,0.255,0.53,0.23517000000000002,0.5431600000000001
38548.5105779951,0.3,0.59,0.24094,0.54234
37625.11918086979,0.29,0.52,0.244315,0.5414300000000001
37966.25959145251,0.37,0.58,0.24667,0.5422100000000001
36726.325808567315,0.26,0.55,0.24458,0.5438
40091.86125104848,0.23,0.51,0.22653500000000001,0.54164
39625.82206239506,0.225,0.53,0.24646,0.54322
36680.57307215208,0.345,0.58,0.25097,0.54349
39978.596693754356,0.2,0.6,0.23466499999999998,0.5469200000000001
39501.517843354704,0.275,0.57,0.243235,0.5400600000000001
37432.59741744732,0.275,0.54,0.24595,0.54176
38369.12333948421,0.29,0.5,0.247595,0.5439400000000001
41490.50054626017,0.22,0.55,0.227055,0.53854
35512.47493536936,0.26,0.55,0.260315,0.54534
38507.45049157287,0.185,0.6,0.238485,0.5471400000000001
37337.59675291792,0.225,0.5,0.238375,0.54332
37603.52636335672,0.245,0.52,0.24991,0.54283
38241.73878839986,0.275,0.51,0.23428,0.53968
40150.566595567856,0.275,0.55,0.23401499999999997,0.54137
37966.07874139976,0.275,0.6,0.24445,0.54023
36501.89672716724,0.305,0.53,0.26022500000000004,0.54076
37166.10958331874,0.38,0.51,0.24351,0.5434099999999998
38945.51603693134,0.27,0.57,0.23417500000000002,0.54335
41665.289432724356,0.195,0.52,0.228185,0.5415699999999999
36254.036184292345,0.36,0.52,0.238755,0.5449100000000001
38368.8124392842,0.25,0.55,0.237995,0.54502
37698.946632169085,0.235,0.51,0.24475,0.54225
41061.92413772037,0.295,0.53,0.229005,0.54053
38727.17432731283,0.23,0.55,0.235935,0.5431800000000001
37315.14075234711,0.33,0.52,0.247845,0.54246
36954.1681081672,0.225,0.57,0.2514,0.5431900000000001
36869.370128680515,0.245,0.51,0.24897000000000002,0.54115
36061.724078765896,0.285,0.56,0.264005,0.5473299999999999
39814.225604405394,0.35,0.59,0.23727,0.54273
36799.56466075545,0.25,0.51,0.25461,0.5453100000000001
37944.16846397603,0.265,0.54,0.24509500000000004,0.5455099999999999
38782.80167340787,0.215,0.57,0.24428000000000002,0.54039
37014.549543111025,0.25,0.51,0.23518,0.54352
38394.385882726,0.285,0.65,0.24695999999999999,0.5447799999999999
37828.26558128777,0.375,0.56,0.250655,0.54575
39994.956939765165,0.25,0.52,0.235715,0.54226
38459.58752129658,0.315,0.61,0.237665,0.54322
37076.728001738134,0.385,0.64,0.24281999999999998,0.5421300000000001
39851.40771617749,0.265,0.51,0.23767500000000003,0.54184
38002.34501884025,0.465,0.57,0.24114,0.5435800000000001
38693.899837009594,0.35,0.62,0.23890500000000003,0.5430499999999999
38073.61095924437,0.285,0.51,0.245095,0.54414
38592.416042799916,0.195,0.55,0.234225,0.5441500000000001
41139.44964802046,0.2,0.56,0.21315,0.5383100000000001
38001.9619077395,0.285,0.55,0.24433,0.54079
36661.277604253286,0.33,0.52,0.25853,0.54795
36898.87798633875,0.255,0.55,0.24888500000000002,0.5436300000000001
